"method","contrast","feature","logFC","P.Value","adj.P.Val","FDR_used","direction","is_primary_candidate","is_significant"
"miRSCAPE_Model2_TCGA_PAAD","T2D_vs_ND","hsa-mir-15a",-0.029446662281436,0.0233158861770315,0.280356183153193,0.280356183153193,"lower_in_T2D",TRUE,FALSE
"miRSCAPE_Model2_TCGA_PAAD","T2D_vs_ND","hsa-mir-16-2",0.00787855812866844,0.204942212147463,0.630994785375131,0.630994785375131,"higher_in_T2D",TRUE,FALSE
"miRSCAPE_Model2_TCGA_PAAD","T2D_vs_ND","hsa-mir-16-1",0.000888444719275405,0.832235010392724,1,1,"higher_in_T2D",TRUE,FALSE
"miRSCAPE_Model2_TCGA_PAAD","T2D_vs_ND","hsa-mir-15b",0.00458287976985439,0.881142457364898,1,1,"higher_in_T2D",TRUE,FALSE
"miRSCAPE_Model2_TCGA_PAAD","T2D_vs_ND","hsa-mir-6838",1.59341285688175e-06,0.959723547110511,1,1,"higher_in_T2D",TRUE,FALSE
"miRSCAPE_Model2_TCGA_PAAD","PD_vs_ND","hsa-mir-15a",-0.00885592679926273,0.502769509583227,1,1,"lower_in_PD",TRUE,FALSE
"miRSCAPE_Model2_TCGA_PAAD","PD_vs_ND","hsa-mir-16-1",-0.00189553735090353,0.667239254350707,1,1,"lower_in_PD",TRUE,FALSE
"miRSCAPE_Model2_TCGA_PAAD","PD_vs_ND","hsa-mir-195",-0.00219813897647869,0.734831535903694,1,1,"lower_in_PD",TRUE,FALSE
"miRSCAPE_Model2_TCGA_PAAD","PD_vs_ND","hsa-mir-15b",0.00963537960766647,0.764794975912778,1,1,"higher_in_PD",TRUE,FALSE
"miRSCAPE_Model2_TCGA_PAAD","PD_vs_ND","hsa-mir-16-2",-0.00182293060629135,0.777873953612222,1,1,"lower_in_PD",TRUE,FALSE
"miRSCAPE_Model2_TCGA_PAAD","PD_vs_ND","hsa-mir-6838",2.82468642781586e-06,0.932072616992397,1,1,"higher_in_PD",TRUE,FALSE
"miRSCAPE_Model2_TCGA_PAAD","T2D_vs_PD","hsa-mir-195",-0.0142943475629895,0.0427594822551464,0.47077726718144,0.47077726718144,"lower_in_T2D",TRUE,FALSE
"miRSCAPE_Model2_TCGA_PAAD","T2D_vs_PD","hsa-mir-15a",-0.0205907354821733,0.145516555853066,0.634327274695421,0.634327274695421,"lower_in_T2D",TRUE,FALSE
"miRSCAPE_Model2_TCGA_PAAD","T2D_vs_PD","hsa-mir-16-2",0.0097014887349598,0.161367761220922,0.642283543169024,0.642283543169024,"higher_in_T2D",TRUE,FALSE
"miRSCAPE_Model2_TCGA_PAAD","T2D_vs_PD","hsa-mir-16-1",0.00278398207017894,0.551331117495516,0.94219650361395,0.94219650361395,"higher_in_T2D",TRUE,FALSE
"miRSCAPE_Model2_TCGA_PAAD","T2D_vs_PD","hsa-mir-15b",-0.00505249983781209,0.88214450144335,1,1,"lower_in_T2D",TRUE,FALSE
"miRSCAPE_Model2_TCGA_PAAD","T2D_vs_PD","hsa-mir-6838",-1.23127357093411e-06,0.972003513594464,1,1,"lower_in_T2D",TRUE,FALSE
